fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-04-28,9534,765,8185,664,0.0802391441157961,0.08112400733048258
2021-04-29,8175,653,7103,568,0.07987767584097859,0.0799662114599465
2021-04-30,7113,490,6116,445,0.0688879516378462,0.07275997383911054
2021-05-01,2140,170,1841,141,0.0794392523364486,0.07658881042911461
2021-05-02,1658,165,1441,145,0.09951749095295537,0.10062456627342123
2021-05-03,7346,650,6234,572,0.08848352845085761,0.09175489252486366
2021-05-04,7173,606,6130,493,0.08448347971560016,0.08042414355628058
2021-05-05,7093,599,6075,506,0.08444945721133512,0.08329218106995885
2021-05-06,6669,543,5748,473,0.08142150247413406,0.08228949199721643
2021-05-07,6314,446,5480,380,0.07063668039277796,0.06934306569343066
2021-05-08,2191,172,1937,147,0.07850296668188042,0.07589055240061951
2021-05-09,1437,69,1232,62,0.04801670146137787,0.05032467532467533
2021-05-10,6019,494,5117,420,0.08207343412526998,0.08207934336525308
2021-05-11,7050,560,6011,477,0.07943262411347518,0.07935451671934786
2021-05-12,7525,603,6561,469,0.0801328903654485,0.07148300563938424
2021-05-13,7116,535,6100,429,0.07518268690275436,0.07032786885245902
2021-05-14,6806,505,5759,425,0.07419923596826329,0.07379753429414829
2021-05-15,2414,122,2000,113,0.050538525269262634,0.0565
2021-05-16,1471,81,1215,70,0.055064581917063225,0.05761316872427984
2021-05-17,7243,587,6271,471,0.08104376639514013,0.07510763833519375
2021-05-18,3708,292,3170,242,0.07874865156418555,0.07634069400630915
2021-05-19,7177,466,6149,393,0.06492963633830291,0.06391283135469182
2021-05-20,5856,341,5009,271,0.05823087431693989,0.054102615292473545
2021-05-21,5938,300,5200,274,0.05052206130010104,0.05269230769230769
2021-05-22,2437,141,2117,106,0.05785802215839146,0.050070854983467174
2021-05-23,1320,82,1091,68,0.06212121212121212,0.06232813932172319
2021-05-24,6609,418,5499,327,0.0632470873051899,0.05946535733769776
2021-05-25,6926,464,5919,391,0.06699393589373376,0.0660584558202399
2021-05-26,6986,470,6064,393,0.06727741196679073,0.06480870712401056
2021-05-27,6416,417,5602,345,0.06499376558603491,0.06158514816137094
2021-05-28,6113,335,5341,310,0.05480124325208572,0.05804156524995319
2021-05-29,1820,115,1606,99,0.06318681318681318,0.06164383561643835
2021-05-30,1474,82,1236,66,0.05563093622795115,0.05339805825242718
2021-05-31,6437,490,5589,443,0.07612241727512817,0.07926283771694399
2021-06-01,7287,477,6276,421,0.06545903664059284,0.06708094327597196
2021-06-02,6345,545,5496,476,0.08589440504334121,0.08660844250363901
2021-06-03,5691,378,5043,352,0.06642066420664207,0.06979972238746777
2021-06-04,5933,416,4988,347,0.07011629866846453,0.06956696070569367
2021-06-05,1616,167,1443,148,0.10334158415841584,0.10256410256410256
